country,average_suicide,average_pib
Albania,0.0033%,2002.03526682
Antigua and Barbuda,0.0004%,8162.30093515
Argentina,0.0067%,6188.3085212
Armenia,0.0027%,1803.88136758
Australia,0.0105%,26212.4105082
Austria,0.0192%,26809.8540752
Azerbaijan,0.0013%,2764.43705924
Bahamas,0.0012%,17410.4917314
Bahrain,0.0018%,13954.6773729
Barbados,0.0027%,9501.57412136
Belarus,0.0320%,3485.15207325
Belgium,0.0191%,25534.8481921
Belize,0.0039%,2828.84020775
Bosnia and Herzegovina,0.0044%,2999.61141547
Brazil,0.0038%,4705.92721905
Bulgaria,0.0176%,3502.40057761
Cabo Verde,0.0093%,1702.27205626
Canada,0.0111%,25795.5437323
Chile,0.0080%,5831.43222587
Colombia,0.0038%,2869.72145408
Costa Rica,0.0051%,4122.70948306
Croatia,0.0211%,9881.40553849
Cuba,0.0159%,3392.07373366
Cyprus,0.0034%,14885.2669857
Czech Republic,0.0163%,11788.8520912
Denmark,0.0129%,33152.463932
Dominica,0.0000%,4028.75951353
Ecuador,0.0046%,2733.19375359
El Salvador,0.0085%,1762.00160686
Estonia,0.0269%,11084.6169733
Fiji,0.0035%,2628.81139051
Finland,0.0224%,26921.423777
France,0.0182%,24443.5966614
Georgia,0.0042%,1906.88517166
Germany,0.0143%,25799.5013572
Greece,0.0039%,13595.8445488
Grenada,0.0016%,4441.95499826
Guatemala,0.0019%,1732.5610113
Guyana,0.0200%,1410.60168995
Hungary,0.0307%,8930.89572459
Iceland,0.0112%,30480.3704666
Ireland,0.0097%,26696.4438697
Israel,0.0048%,17568.6582167
Italy,0.0073%,21086.9030473
Jamaica,0.0004%,2845.87687112
Japan,0.0216%,28298.1631658
Kazakhstan,0.0250%,4924.44140944
Kiribati,0.0065%,942.340667394
Kuwait,0.0010%,23183.7326003
Latvia,0.0324%,8784.66570007
Lithuania,0.0471%,8869.10469054
Luxembourg,0.0117%,53230.873452
Maldives,0.0006%,3332.77064361
Malta,0.0046%,11010.9141136
Mauritius,0.0106%,4151.04649621
Mexico,0.0031%,5389.40307765
Montenegro,0.0080%,5216.46527135
Netherlands,0.0098%,28130.935736
New Zealand,0.0120%,18728.5711982
Nicaragua,0.0061%,1004.27348996
Norway,0.0116%,43451.5677745
Oman,0.0003%,9419.90923622
Panama,0.0039%,4818.49654308
Paraguay,0.0030%,2243.13471247
Philippines,0.0017%,1184.04789161
Poland,0.0161%,7639.74960628
Portugal,0.0090%,11559.883879
Puerto Rico,0.0084%,14377.6332695
Qatar,0.0015%,35964.3816437
Romania,0.0139%,4463.24516599
Russian Federation,0.0327%,6209.54177187
San Marino,0.0047%,59839.5063948
Serbia,0.0199%,4097.84771135
Seychelles,0.0063%,7006.12064912
Singapore,0.0088%,23029.3263675
Slovenia,0.0259%,17914.5882776
South Africa,0.0007%,3832.53088518
Spain,0.0073%,16321.1273921
Sri Lanka,0.0283%,1168.95434505
Suriname,0.0155%,3500.29120021
Sweden,0.0139%,31665.9847761
Switzerland,0.0158%,47336.0228022
Thailand,0.0064%,2459.11679534
Trinidad and Tobago,0.0121%,8600.10760213
Turkey,0.0020%,4799.28465497
Turkmenistan,0.0061%,2450.63158639
Ukraine,0.0283%,1861.01272549
United Arab Emirates,0.0013%,32927.4744188
United Kingdom,0.0072%,24805.1556842
United States,0.0111%,31159.9695764
Uruguay,0.0147%,6090.90213259
