country, percent_average, suicide_average
Albania,0.0027,52.63636363636363
Antigua and Barbuda,0.0001,0.07407407407407407
Argentina,0.0052,1413.9032258064517
Armenia,0.0025,40.44
Aruba,0.0063,3.2857142857142856
Australia,0.0082,1168.0666666666666
Austria,0.0173,762.75
Azerbaijan,0.0010,57.0
Bahamas,0.0008,1.608695652173913
Bahrain,0.0011,9.476190476190476
Barbados,0.0020,3.08
Belarus,0.0251,1488.857142857143
Belgium,0.0183,1143.967741935484
Belize,0.0026,5.892857142857143
Bosnia and Herzegovina,0.0030,69.5
Brazil,0.0029,3774.935483870968
Bulgaria,0.0144,685.3333333333334
Cabo Verde,0.0083,24.0
Canada,0.0093,1706.3793103448277
Chile,0.0064,695.5483870967741
Colombia,0.0030,916.1290322580645
Costa Rica,0.0034,109.0
Croatia,0.0184,436.1363636363636
Cuba,0.0123,878.6666666666666
Cyprus,0.0028,12.533333333333333
Czech Republic,0.0173,857.7407407407408
Denmark,0.0113,350.8181818181818
Dominica,0.0000,0.0
Ecuador,0.0036,354.61290322580646
El Salvador,0.0067,250.625
Estonia,0.0204,176.52380952380952
Fiji,0.0027,14.454545454545455
Finland,0.0160,580.3103448275862
France,0.0151,5894.133333333333
Georgia,0.0033,77.81818181818181
Germany,0.0101,5330.653846153846
Greece,0.0030,210.4516129032258
Grenada,0.0010,0.46153846153846156
Guatemala,0.0014,142.43333333333334
Guyana,0.0158,68.44
Hungary,0.0264,1455.0
Iceland,0.0099,15.71875
Ireland,0.0068,200.36666666666667
Israel,0.0037,202.03225806451613
Italy,0.0057,2213.3548387096776
Jamaica,0.0003,4.764705882352941
Japan,0.0189,13829.225806451614
Kazakhstan,0.0168,1916.8846153846155
Kiribati,0.0042,1.9090909090909092
Kuwait,0.0007,17.12
Kyrgyzstan,0.0072,246.15384615384616
Latvia,0.0247,291.4761904761905
Lithuania,0.0388,550.3181818181819
Luxembourg,0.0097,32.41935483870968
Macau,0.0057,14.0
Maldives,0.0003,0.6
Malta,0.0039,8.419354838709678
Mauritius,0.0099,60.65625
Mexico,0.0023,1999.0645161290322
Mongolia,0.0140,190.0
Montenegro,0.0069,26.5
Netherlands,0.0105,862.5
New Zealand,0.0105,248.06896551724137
Nicaragua,0.0044,178.33333333333334
Norway,0.0105,306.0
Oman,0.0003,6.0
Panama,0.0027,72.32
Paraguay,0.0027,102.81481481481481
Philippines,0.0012,813.1333333333333
Poland,0.0109,2590.3333333333335
Portugal,0.0081,471.81481481481484
Puerto Rico,0.0061,143.80645161290323
Qatar,0.0017,16.333333333333332
Republic of Korea,0.0144,5609.548387096775
Romania,0.0145,1170.1785714285713
Russian Federation,0.0232,21456.074074074073
Saint Kitts and Nevis,0.0000,0.0
Saint Lucia,0.0039,3.4285714285714284
Saint Vincent and Grenadines,0.0029,1.8
San Marino,0.0017,0.3333333333333333
Serbia,0.0172,808.3333333333334
Seychelles,0.0058,2.5
Singapore,0.0080,187.58064516129033
Slovakia,0.0083,305.1818181818182
Slovenia,0.0180,245.38095238095238
South Africa,0.0006,191.05
Spain,0.0067,1666.2903225806451
Sri Lanka,0.0215,2848.181818181818
Suriname,0.0117,40.5
Sweden,0.0143,678.3
Switzerland,0.0145,674.952380952381
Thailand,0.0056,2034.857142857143
Trinidad and Tobago,0.0085,77.44444444444444
Turkey,0.0015,863.8571428571429
Turkmenistan,0.0044,142.24137931034483
Ukraine,0.0236,6053.892857142857
United Arab Emirates,0.0015,39.166666666666664
United Kingdom,0.0064,2211.032258064516
United States,0.0099,19144.935483870966
Uruguay,0.0108,247.10714285714286
