country, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, average
Albania,"","","","","","","","","","1857338011.85488","1897050133.42015","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880951520.3972","2392764853.42107","3199641335.93751","2258513974.0968","2545964540.88383","3212121650.97755","3480355258.04122","3922100793.5403","4348068242.19512","5611496257.14231","7184685781.51876","8052073539.38058","8896072918.9814","10677324144.4289","12881353507.8539","12044208085.864","11926957254.6288","12890866742.6533","12319784886.2038","12776280961.155","13228247844.1247","11386931489.7968","11883682170.8236",5945542057.16
United Arab Emirates,"14720672506.5004","19213022691.0526","24871775164.6043","23775831783.4263","31225463217.7582","43598748449.0479","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617018379.85","222116541865.214","257916133424.098","315474615738.598","253547358747.447","289787338325.391","350666031313.819","374590605854.323","390107556160.654","403137100068.073","358135057862.492","357045064669.843",1.31407592963e+11
Argentina,"52438647921.9226","51169499890.7722","56781000100.9448","58082870156.2634","69252328953.3789","76961923741.9478","78676842366.4213","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719984268.485","228788617201.696","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","594749285413.212","554860945013.62",2.32560811431e+11
Armenia,"","","","","","","","","","","","","","","","2256838858.42714","2068526521.90299","1272577456.12712","1201313201.01272","1315158670.28285","1468317350.06841","1596968913.27897","1639492424.36472","1893726437.26462","1845482181.44801","1911563665.39006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469950.09033","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79782","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7543","10553337672.9872","10546135160.031",5333400498.89
Antigua and Barbuda,"","","77496753.7037037","87879341.4814815","109079978.888889","131431026.666667","147841734.444444","164369278.888889","182144092.962963","208372846.296296","240923924.814815","290440140.740741","337174861.851852","398637727.777778","438794788.518519","459469058.888889","481706342.222222","499281144.074074","535172767.407407","589429609.62963","577280726.666667","633730647.037037","680617122.592593","727860577.777778","766198910","830158768.888889","800740257.407407","814615323.703704","855643099.62963","919577142.592592","1022191294.07407","1157005441.48148","1311401318.88889","1368431043.33333","1224253013.7037","1152469068.51852","1142042915.55556","1211411704.44444","1192919619.25926","1275576784.44444","1359194737.40741","1464630213.33333",696689878.75
Australia,"97147343984.7057","104894743476.617","110174351915.577","118309271373.787","134679086674.997","149738161559.889","176599326599.327","193721725697.893","176986429574.169","193194167723.239","180190994860.781","181977476217.124","189041159343.568","235699941792.782","299317645142.904","310838014621.008","325358292127.776","324878105052.68","311528948847.667","322201314424.075","367216364716.365","400302731411.229","434568007512.913","398899138574.239","388395162301.04","415034227218.489","378215090694.43","394486709920.469","466294700058.241","611904253805.662","692641708013.833","745521862833.184","851962785585.303","1052584601611.46","926448240318.068","1144260547872.81","1394280784777.68","1543411012579.91","1573696522006.77","1464955475993.76","1349034029453.37","1208039015868.39",5.31872130337e+11
Austria,"40059206763.056","42959976068.1138","51545759220.7143","62052258694.2102","73937296654.6577","82058912465.4329","71034228097.4598","71275287327.5793","72121016623.2572","67985345161.9558","69386774474.5943","99036165209.5539","124168442860.253","133339397080.129","133105805928.237","166463386663.439","173794177725.398","195078126346.106","190379720927.481","203535242741.838","241038283062.645","237250948791.266","212790348404.555","218259904401.956","217185787342.851","196799778883.361","197337879194.631","213377771503.858","261695778781.038","300904221504.842","315974418604.651","335998557270.104","388691445387.353","430294287388.311","400172297860.517","391892746544.69","431120310088.82","409425234155.263","430068712971.867","441885415805.825","382065930307.978","390799991147.468",2.18293966106e+11
Azerbaijan,"","","","","","","","","","","","","","","","9063444102.23294","8226390167.01853","4970536336.63285","3970953395.51544","3313939553.5418","3052467522.36104","3176703092.30412","3962735257.21455","4446370371.15023","4581246713.32066","5272617196.04517","5707720390.8515","6235856819.58445","7276013031.96905","8680370408.05943","13245716099.0057","20982986344.3027","33050343782.7759","48852482960.0779","44291490420.5026","52902703376.1056","65951627200.2026","69683935845.2138","74164435946.4627","75244294275.1498","53074370486.0433","37867518957.1975",24861084076.0
Belgium,"66029748930.5693","71494539498.4326","83283328418.6832","101788475086.461","116938066868.465","127508202372.741","105290614080.834","92588895020.3073","87650915976.3314","83795680815.4147","86730038793.3963","120661220335.922","150194077687.736","163167853538.124","165100094594.595","206430841501.69","211637816538.689","236038384441.656","225924679920.709","246194938750.904","289567323481.117","281358175895.766","254813599458.728","260601911535.897","260202429149.798","237904919845.218","237841968680.09","258860436664.784","319002821670.429","370885026074","387365750528.541","409813197842.178","471821105940.323","518625897172.99","484552792442.345","483548031197.108","527008453886.929","497884216568.867","520925468952.938","530770977633.615","455039563132.776","467545548764.571",2.68437810231e+11
Bulgaria,"","","","","","19839230769.2308","19870000000","19342000000","16563666666.6667","17594944444.4444","17155421052.6316","20249294117.6471","28101000000","22555941176.4706","21988444444.4444","20632090909.0909","10943548387.0968","10350515463.9175","10829710144.9275","9697416974.16974","13063422619.0476","10109612141.6526","11195612105.357","14942172233.5833","13531969309.4629","13153016530.8718","14075616789.4905","16276456427.5397","20982685981.4163","25957970922.4811","29636617749.8253","34130122490.8613","44411476557.0329","54409138498.3548","51884481410.3931","50610058210.3696","57418414504.0882","53903022339.0276","55555171009.772","56814543481.2102","50201314894.5817","53240950226.2443",27330191107.7
